corpus,run,fold,score
callhome,12,4,0.76923076923076927
callhome,12,5,0.56000000000000005
callhome,12,6,0.80000000000000004
callhome,12,7,0.83999999999999997
callhome,12,8,0.80769230769230771
callhome,12,9,0.71999999999999997
callhome,13,0,0.80000000000000004
callhome,13,1,0.88461538461538458
callhome,13,2,1.0
callhome,13,3,0.80000000000000004
callhome,13,4,0.92307692307692313
callhome,13,5,0.52000000000000002
callhome,13,6,0.64000000000000001
callhome,13,7,0.76000000000000001
callhome,13,8,0.61538461538461542
callhome,13,9,0.88
callhome,14,0,0.83999999999999997
callhome,14,1,0.61538461538461542
callhome,14,2,0.71999999999999997
callhome,14,3,0.83999999999999997
callhome,14,4,0.92307692307692313
callhome,14,5,0.83999999999999997
callhome,14,6,0.83999999999999997
callhome,14,7,0.88
callhome,14,8,0.61538461538461542
callhome,14,9,0.83999999999999997
callhome,15,0,0.68000000000000005
callhome,15,1,0.65384615384615385
callhome,15,2,0.80000000000000004
callhome,15,3,0.83999999999999997
callhome,15,4,0.92307692307692313
callhome,15,5,0.83999999999999997
callhome,15,6,0.80000000000000004
callhome,15,7,0.80000000000000004
callhome,15,8,0.76923076923076927
callhome,15,9,0.80000000000000004
callhome,16,0,0.83999999999999997
callhome,16,1,0.76923076923076927
callhome,16,2,0.68000000000000005
callhome,16,3,0.68000000000000005
callhome,16,4,0.69230769230769229
callhome,16,5,0.76000000000000001
callhome,16,6,1.0
callhome,16,7,0.76000000000000001
callhome,16,8,0.88461538461538458
callhome,16,9,0.88
callhome,17,0,0.83999999999999997
callhome,17,1,0.80769230769230771
callhome,17,2,0.71999999999999997
callhome,17,3,0.71999999999999997
callhome,17,4,0.84615384615384615
callhome,17,5,0.88
callhome,17,6,0.83999999999999997
callhome,17,7,0.88
callhome,17,8,0.80769230769230771
callhome,17,9,0.64000000000000001
callhome,18,0,0.76000000000000001
callhome,18,1,0.65384615384615385
callhome,18,2,0.71999999999999997
callhome,18,3,0.68000000000000005
callhome,18,4,0.92307692307692313
callhome,18,5,0.92000000000000004
callhome,18,6,0.95999999999999996
callhome,18,7,0.83999999999999997
callhome,18,8,0.84615384615384615
callhome,18,9,0.76000000000000001
callhome,19,0,0.76000000000000001
callhome,19,1,0.76923076923076927
callhome,19,2,0.76000000000000001
callhome,19,3,0.88
callhome,19,4,0.65384615384615385
callhome,19,5,0.92000000000000004
callhome,19,6,0.76000000000000001
callhome,19,7,0.68000000000000005
callhome,19,8,0.80769230769230771
callhome,19,9,0.83999999999999997
callhome,20,0,0.80000000000000004
callhome,20,1,0.73076923076923073
callhome,20,2,0.83999999999999997
callhome,20,3,0.83999999999999997
callhome,20,4,0.80769230769230771
callhome,20,5,0.64000000000000001
callhome,20,6,0.88
callhome,20,7,0.71999999999999997
callhome,20,8,0.88461538461538458
callhome,20,9,0.88
